model,niche,gt,institution_normalized,paper_count,derived_rank,baseline_rank_avg,rank_deviation
claude-sonnet-4-6,se,niche,Carnegie Mellon University,3,1.5,1.0,0.5
claude-sonnet-4-6,se,niche,North Carolina State University,3,1.5,5.0,-3.5
claude-sonnet-4-6,se,niche,Massachusetts Inst. of Technology,1,6.0,25.0,-19.0
claude-sonnet-4-6,se,niche,Univ. of California - Berkeley,1,6.0,28.5,-22.5
claude-sonnet-4-6,se,niche,Univ. of California - Irvine,1,6.0,2.0,4.0
claude-sonnet-4-6,se,niche,Univ. of California - San Diego,1,6.0,35.0,-29.0
claude-sonnet-4-6,se,niche,University of Michigan,1,6.0,35.0,-29.0
claude-sonnet-4-6,se,niche,University of Virginia,1,6.0,9.0,-3.0
claude-sonnet-4-6,se,niche,University of Wisconsin - Madison,1,6.0,47.5,-41.5
claude-sonnet-4-6,se,overall,Carnegie Mellon University,3,1.5,1.0,0.5
claude-sonnet-4-6,se,overall,North Carolina State University,3,1.5,39.0,-37.5
claude-sonnet-4-6,se,overall,Massachusetts Inst. of Technology,1,6.5,5.0,1.5
claude-sonnet-4-6,se,overall,Stanford University,1,6.5,12.0,-5.5
claude-sonnet-4-6,se,overall,Univ. of California - Berkeley,1,6.5,6.5,0.0
claude-sonnet-4-6,se,overall,Univ. of California - Irvine,1,6.5,22.5,-16.0
claude-sonnet-4-6,se,overall,Univ. of California - San Diego,1,6.5,3.0,3.5
claude-sonnet-4-6,se,overall,University of Michigan,1,6.5,10.0,-3.5
claude-sonnet-4-6,se,overall,University of Virginia,1,6.5,27.0,-20.5
claude-sonnet-4-6,se,overall,University of Wisconsin - Madison,1,6.5,16.0,-9.5
claude-sonnet-4-6,vision,niche,Cornell University,3,1.5,11.0,-9.5
claude-sonnet-4-6,vision,niche,Stanford University,3,1.5,5.0,-3.5
claude-sonnet-4-6,vision,niche,University of Washington,1,3.0,22.0,-19.0
claude-sonnet-4-6,vision,overall,Cornell University,3,1.5,9.0,-7.5
claude-sonnet-4-6,vision,overall,Stanford University,3,1.5,12.0,-10.5
claude-sonnet-4-6,vision,overall,University of Washington,1,3.0,6.5,-3.5
gemini-3.1-pro-preview,se,niche,Carnegie Mellon University,5,1.0,1.0,0.0
gemini-3.1-pro-preview,se,niche,North Carolina State University,3,2.0,5.0,-3.0
gemini-3.1-pro-preview,se,niche,University of Colorado Boulder,2,3.0,28.5,-25.5
gemini-3.1-pro-preview,se,niche,Georgia Institute of Technology,1,5.0,30.5,-25.5
gemini-3.1-pro-preview,se,niche,University of Southern California,1,5.0,7.0,-2.0
gemini-3.1-pro-preview,se,niche,University of Virginia,1,5.0,9.0,-4.0
gemini-3.1-pro-preview,se,overall,Carnegie Mellon University,5,1.5,1.0,0.5
gemini-3.1-pro-preview,se,overall,Univ. of Maryland - College Park,5,1.5,8.0,-6.5
gemini-3.1-pro-preview,se,overall,North Carolina State University,3,3.0,39.0,-36.0
gemini-3.1-pro-preview,se,overall,University of Colorado Boulder,2,4.0,49.5,-45.5
gemini-3.1-pro-preview,se,overall,Georgia Institute of Technology,1,6.0,4.0,2.0
gemini-3.1-pro-preview,se,overall,University of Southern California,1,6.0,21.0,-15.0
gemini-3.1-pro-preview,se,overall,University of Virginia,1,6.0,27.0,-21.0
gemini-3.1-pro-preview,vision,niche,Massachusetts Inst. of Technology,3,1.5,6.0,-4.5
gemini-3.1-pro-preview,vision,niche,University of Washington,3,1.5,22.0,-20.5
gemini-3.1-pro-preview,vision,niche,Princeton University,1,3.0,19.0,-16.0
gemini-3.1-pro-preview,vision,overall,Massachusetts Inst. of Technology,3,1.5,5.0,-3.5
gemini-3.1-pro-preview,vision,overall,University of Washington,3,1.5,6.5,-5.0
gemini-3.1-pro-preview,vision,overall,Princeton University,1,3.0,17.0,-14.0
gpt-5.4,se,niche,North Carolina State University,3,1.0,5.0,-4.0
gpt-5.4,se,niche,Carnegie Mellon University,2,3.0,1.0,2.0
gpt-5.4,se,niche,University of Virginia,2,3.0,9.0,-6.0
gpt-5.4,se,niche,University of Wisconsin - Madison,2,3.0,47.5,-44.5
gpt-5.4,se,overall,North Carolina State University,3,1.0,39.0,-38.0
gpt-5.4,se,overall,Carnegie Mellon University,2,3.0,1.0,2.0
gpt-5.4,se,overall,University of Virginia,2,3.0,27.0,-24.0
gpt-5.4,se,overall,University of Wisconsin - Madison,2,3.0,16.0,-13.0
gpt-5.4,vision,niche,University of Washington,3,1.0,22.0,-21.0
gpt-5.4,vision,niche,Cornell University,2,2.0,11.0,-9.0
gpt-5.4,vision,niche,Carnegie Mellon University,1,4.0,1.0,3.0
gpt-5.4,vision,niche,Massachusetts Inst. of Technology,1,4.0,6.0,-2.0
gpt-5.4,vision,niche,New York University,1,4.0,26.0,-22.0
gpt-5.4,vision,overall,University of Washington,3,1.0,6.5,-5.5
gpt-5.4,vision,overall,Cornell University,2,2.0,9.0,-7.0
gpt-5.4,vision,overall,Carnegie Mellon University,1,4.5,1.0,3.5
gpt-5.4,vision,overall,Harvard University,1,4.5,39.0,-34.5
gpt-5.4,vision,overall,Massachusetts Inst. of Technology,1,4.5,5.0,-0.5
gpt-5.4,vision,overall,New York University,1,4.5,14.5,-10.0
qwen2.5:3b,se,niche,Univ. of California - Berkeley,2,1.0,28.5,-27.5
qwen2.5:3b,se,niche,Georgia Institute of Technology,1,3.5,30.5,-27.0
qwen2.5:3b,se,niche,Massachusetts Inst. of Technology,1,3.5,25.0,-21.5
qwen2.5:3b,se,niche,Univ. of California - Riverside,1,3.5,19.0,-15.5
qwen2.5:3b,se,niche,University of Southern California,1,3.5,7.0,-3.5
qwen2.5:3b,se,overall,Univ. of California - Berkeley,2,1.5,6.5,-5.0
qwen2.5:3b,se,overall,University of Illinois at Chicago,2,1.5,42.5,-41.0
qwen2.5:3b,se,overall,Georgia Institute of Technology,1,5.0,4.0,1.0
qwen2.5:3b,se,overall,Massachusetts Inst. of Technology,1,5.0,5.0,0.0
qwen2.5:3b,se,overall,Rice University,1,5.0,45.5,-40.5
qwen2.5:3b,se,overall,Univ. of California - Riverside,1,5.0,28.5,-23.5
qwen2.5:3b,se,overall,University of Southern California,1,5.0,21.0,-16.0
qwen2.5:3b,vision,niche,Brown University,12,1.0,33.0,-32.0
qwen2.5:3b,vision,niche,Massachusetts Inst. of Technology,3,2.5,6.0,-3.5
qwen2.5:3b,vision,niche,University of Texas at Austin,3,2.5,10.0,-7.5
qwen2.5:3b,vision,niche,University of Southern California,2,4.0,34.5,-30.5
qwen2.5:3b,vision,niche,California Inst. of Technology,1,6.5,34.5,-28.0
qwen2.5:3b,vision,niche,Dartmouth College,1,6.5,38.0,-31.5
qwen2.5:3b,vision,niche,Duke University,1,6.5,47.0,-40.5
qwen2.5:3b,vision,niche,Purdue University,1,6.5,43.0,-36.5
qwen2.5:3b,vision,overall,Massachusetts Inst. of Technology,3,1.5,5.0,-3.5
qwen2.5:3b,vision,overall,University of Texas at Austin,3,1.5,14.5,-13.0
qwen2.5:3b,vision,overall,University of Southern California,2,3.0,21.0,-18.0
qwen2.5:3b,vision,overall,Duke University,1,4.5,30.5,-26.0
qwen2.5:3b,vision,overall,Purdue University,1,4.5,13.0,-8.5
